track_id,timestamp_utc,sensor_id,site_id,lat,lon,object_class,alert_type,confidence,priority,speed_kts,heading_deg,notes
TRK-BAL-142,2026-09-13T00:38:33Z,RADAR-N1,SITE-CHARLIE,64.4977,21.0139,balloon,track_entered_zone,0.65,P4,12,266,Meteorological balloon on scheduled launch from met station
TRK-UNK-2891,2026-09-13T01:13:26Z,RADAR-N2,SITE-BRAVO,63.9784,22.6309,unknown_small,low_confidence_track,0.32,P4,7,230,"Erratic low-speed track, likely bird flock; dropped after 40 s"
TRK-GND-7424,2026-09-13T02:50:44Z,PERIMETER-CAM,SITE-BRAVO,63.9820,22.6083,vehicle,vehicle_at_gate,0.90,P3,0,0,Vehicle at main gate; plate matched authorised list (contractor)
TRK-AIR-5218,2026-09-13T03:43:14Z,ADS-B-CHARLIE,SITE-CHARLIE,64.2765,21.2303,fixed_wing,track_entered_zone,0.94,P4,235,211,Civil flight FI889 at FL162 on airway; ADS-B valid
TRK-AIR-2515,2026-09-13T03:47:57Z,ADS-B-CHARLIE,SITE-CHARLIE,64.2269,21.3317,fixed_wing,track_entered_zone,0.93,P4,383,112,Civil flight SK874 at FL308 on airway; ADS-B valid
TRK-AIR-2148,2026-09-13T05:20:33Z,ADS-B-CHARLIE,SITE-CHARLIE,64.2367,21.2203,fixed_wing,track_entered_zone,0.99,P4,302,359,Civil flight FI227 at FL193 on airway; ADS-B valid
TRK-AIR-7726,2026-09-13T05:29:13Z,ADS-B-CHARLIE,SITE-CHARLIE,64.3285,21.2091,fixed_wing,track_entered_zone,0.98,P4,360,73,Civil flight FI363 at FL95 on airway; ADS-B valid
TRK-AIR-7166,2026-09-13T05:32:26Z,ADS-B-CHARLIE,SITE-CHARLIE,64.3618,21.1092,fixed_wing,track_entered_zone,0.93,P4,290,298,Civil flight DY322 at FL133 on airway; ADS-B valid
TRK-UNK-9648,2026-09-13T06:20:59Z,RADAR-N2,SITE-BRAVO,63.9922,22.6084,unknown_small,low_confidence_track,0.42,P4,22,243,"Erratic low-speed track, likely bird flock; dropped after 40 s"
TRK-UNK-3012,2026-09-13T06:31:27Z,RADAR-N2,SITE-CHARLIE,64.2942,21.2015,unknown_small,low_confidence_track,0.28,P4,24,273,"Erratic low-speed track, likely bird flock; dropped after 40 s"
TRK-AIR-7964,2026-09-13T07:48:56Z,ADS-B-CHARLIE,SITE-CHARLIE,64.3965,21.2210,fixed_wing,track_entered_zone,0.98,P4,190,214,Civil flight DY276 at FL114 on airway; ADS-B valid
