srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
59.166.0.6,64346,149.171.126.8,37859,tcp,FIN,0.067997,2766,27770,31,29,7,16,-,318131.6875,3196258.5,44,46,255,255,946649734,946954596,63,604,0,0,93.663147,89.941531,1424223089,1424223089,1.57414,1.4972,0.000743,0.000614,0.000129,0,0,,, ,2,4,5,2,1,1,2,,0
59.166.0.9,43814,149.171.126.3,3906,tcp,FIN,0.101907,4238,63618,31,29,7,30,-,328142.3125,4926766.5,72,74,255,255,1546653926,3715123596,59,860,0,0,102.420743,100.481117,1424223090,1424223090,1.430831,1.400444,0.001223,0.001072,0.000151,0,0,,, ,4,5,2,1,1,1,2,,0
59.166.0.6,51942,149.171.126.0,53,udp,CON,0.001012,146,178,31,29,0,0,dns,577075.0625,703557.3125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424223093,1424223093,0.005,0.007,0.0,0.0,0.0,0,0,,, ,4,2,3,4,2,1,1,,0
59.166.0.2,20942,149.171.126.4,19744,tcp,FIN,0.233992,4536,2768,31,29,7,7,-,148620.4688,90703.96094,24,24,255,255,2039172147,2042355846,189,115,0,0,746.093779,21.16309,1424223094,1424223094,10.159304,10.119,0.0014,0.001252,0.000148,0,0,,, ,6,6,3,4,1,1,4,,0
59.166.0.0,7723,149.171.126.6,5190,tcp,FIN,0.004178,1064,2260,31,29,4,4,-,1868836.75,3967448.5,12,12,255,255,1739165978,1739490453,89,188,0,0,18.239217,0.393221,1424223094,1424223094,0.347909,0.324,0.000729,0.000605,0.000124,0,0,,, ,2,2,3,2,1,1,1,,0
59.166.0.8,46863,149.171.126.3,1085,tcp,FIN,0.048873,4238,63618,31,29,7,30,-,684222.375,10272993.0,72,74,255,255,491685090,504560315,59,860,0,0,42.063021,41.5166,1424223095,1424223095,0.68407,0.661781,0.000694,0.00056,0.000134,0,0,,, ,5,7,7,2,1,1,1,,0
59.166.0.9,20853,149.171.126.0,111,udp,CON,0.005166,568,312,31,29,0,0,-,659698.0,362369.3125,4,4,0,0,0,0,142,78,0,0,1.871947,1.707664,1424223096,1424223096,1.332667,1.211,0.0,0.0,0.0,0,0,,, ,13,5,4,5,1,1,3,,0
59.166.0.8,17273,149.171.126.3,53,udp,CON,0.00102,130,162,31,29,0,0,dns,509803.9375,635294.125,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424223098,1424223098,0.008,0.001,0.0,0.0,0.0,0,0,,, ,2,2,3,3,1,1,6,,0
59.166.0.6,30159,149.171.126.8,30928,tcp,FIN,0.039981,2766,27770,31,29,7,16,-,541057.0,5435982.0,44,46,255,255,1464199340,1464522459,63,604,0,0,62.903393,61.718153,1424223100,1424223100,0.922465,0.894295,0.000748,0.000623,0.000125,0,0,,, ,2,10,2,3,1,1,1,,0
175.45.176.0,0,149.171.126.13,0,ipnip,INT,3e-06,180,0,254,0,0,0,-,239999984.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424223103,1424223103,0.003,0.0,0.0,0.0,0.0,0,2,,, ,4,3,3,5,4,3,3,Backdoor,1
59.166.0.3,53627,149.171.126.7,80,tcp,FIN,1.100887,1580,10168,31,29,3,5,http,10529.69141,69791.0,12,18,255,255,469235634,2619874003,132,565,1,3924,9576.917172,7711.298913,1424223106,1424223107,100.049089,64.724881,0.000699,0.000558,0.000141,0,0,1.0,, ,2,2,3,4,1,1,2,,0
59.166.0.1,5803,149.171.126.2,25,tcp,FIN,0.021889,37232,3380,31,29,18,8,smtp,13345882.0,1206085.25,52,42,255,255,3934621725,3935670179,716,80,0,0,23.463803,0.848471,1424223108,1424223108,0.439816,0.521,0.000657,0.000524,0.000133,0,0,,, ,1,1,3,4,1,1,1,,0
59.166.0.1,25462,149.171.126.1,53,udp,CON,0.001035,130,162,31,29,0,0,dns,502415.4688,626087.0,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424223111,1424223111,0.009,0.027,0.0,0.0,0.0,0,0,,, ,3,1,1,1,1,1,1,,0
59.166.0.3,5126,149.171.126.4,5190,tcp,FIN,0.004009,1064,2260,31,29,4,4,-,1947617.875,4134697.0,12,12,255,255,4083845163,1934543596,89,188,0,0,16.811652,0.381499,1424223115,1424223115,0.332455,0.315091,0.000647,0.000535,0.000112,0,0,,, ,6,5,1,1,1,1,1,,0
59.166.0.5,23331,149.171.126.6,21,tcp,FIN,2.625593,2934,3742,31,29,11,15,ftp,8769.066406,11191.37695,52,54,255,255,3568882914,1440685052,56,69,0,0,3072.333079,97.454016,1424223122,1424223124,51.476021,49.528379,0.000736,0.000585,0.000151,0,0,,1.0,1,1,2,2,4,1,1,3,,0
59.166.0.4,47659,149.171.126.8,53,udp,CON,0.001004,130,162,31,29,0,0,dns,517928.3125,645418.375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424223123,1424223123,0.009,0.004,0.0,0.0,0.0,0,0,,, ,2,3,4,2,1,1,1,,0
59.166.0.6,6837,149.171.126.0,53,udp,CON,0.000899,130,162,31,29,0,0,dns,578420.5,720800.9375,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424223123,1424223123,0.001,0.006,0.0,0.0,0.0,0,0,,, ,6,3,5,3,3,2,2,,0
59.166.0.7,61618,149.171.126.6,5190,tcp,FIN,0.022378,1920,4312,31,29,6,6,-,655286.4375,1477522.625,22,24,255,255,3773911226,1624639384,87,180,0,0,127.61147,111.876752,1424223129,1424223129,1.10095,0.945478,0.000772,0.000623,0.000149,0,0,,, ,8,7,1,2,1,1,6,,0
59.166.0.5,26822,149.171.126.9,61951,tcp,FIN,0.211886,4222,64070,31,29,7,30,-,157216.6094,2386377.5,72,74,255,255,616848135,617144500,59,866,0,0,164.133621,160.954139,1424223131,1424223131,2.979986,2.895055,0.000657,0.000538,0.000119,0,0,,, ,3,6,4,2,1,1,1,,0
59.166.0.7,58589,149.171.126.9,51648,tcp,FIN,0.046976,2766,27770,31,29,7,16,-,460490.4688,4626532.5,44,46,255,255,2702232591,2702486101,63,604,0,0,70.742554,68.705899,1424223131,1424223131,1.111333,1.054818,0.000701,0.000559,0.000142,0,0,,, ,8,6,4,3,1,1,3,,0
59.166.0.4,63613,149.171.126.2,143,tcp,FIN,2.963986,7812,15048,31,29,30,32,-,20912.38086,40294.38672,122,126,255,255,2462236059,354975847,64,119,0,0,1455.452065,1423.460182,1424223131,1424223134,24.904454,23.708024,0.000595,0.000481,0.000114,0,0,,, ,6,4,3,3,1,1,2,,0
59.166.0.2,29465,149.171.126.1,80,tcp,FIN,1.404065,1684,10168,31,29,3,5,http,8911.268555,54721.11328,14,18,255,255,1816849650,4093413187,120,565,1,3924,9096.037398,7966.531382,1424223133,1424223135,107.979459,82.539412,0.001029,0.000894,0.000135,0,0,1.0,, ,5,2,4,4,1,1,5,,0
