srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
59.166.0.7,6810,149.171.126.8,12409,tcp,FIN,0.222491,8928,320,31,29,4,1,ftp-data,298115.4375,9600.388672,14,6,255,255,3464566135,1344875911,638,53,0,0,1585.324331,67.859336,1424223093,1424223093,17.114692,44.379602,0.00057,0.000457,0.000113,0,0,,, ,3,3,6,11,1,1,5
59.166.0.3,17204,149.171.126.5,80,tcp,CON,0.426013,2666,120216,31,29,2,41,http,48881.13672,2230636.25,42,84,255,255,3061267723,3079147284,63,1431,1,57663,588.422247,341.649711,1424223096,1424223096,10.390561,5.124132,0.000646,0.000515,0.000131,0,0,2.0,, ,1,1,15,3,2,2,3
59.166.0.1,38768,149.171.126.1,53,udp,CON,0.001024,146,178,31,29,0,0,dns,570312.5,695312.5,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424223097,1424223097,0.008,0.008,0.0,0.0,0.0,0,0,,, ,1,1,2,3,1,1,2
59.166.0.2,51650,149.171.126.6,25172,tcp,FIN,0.014897,2766,27770,31,29,7,16,-,1452104.5,14589246.0,44,46,255,255,396716136,397024858,63,604,0,0,19.116592,18.067054,1424223102,1424223102,0.346929,0.317889,0.000707,0.000583,0.000124,0,0,,, ,9,9,4,2,1,1,3
175.45.176.0,0,149.171.126.13,0,ip,INT,3e-06,180,0,254,0,0,0,-,239999984.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424223103,1424223103,0.003,0.0,0.0,0.0,0.0,0,2,,, ,4,3,3,5,4,3,3
175.45.176.2,22636,149.171.126.18,111,udp,INT,8e-06,168,0,254,0,0,0,-,84000000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424223123,1424223123,0.008,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,1
59.166.0.9,44633,149.171.126.2,12409,tcp,FIN,0.893121,8928,424,31,29,4,1,ftp-data,74265.41406,3323.177979,14,8,255,255,3109723438,2870797590,638,53,0,0,7804.676804,312.155125,1424223131,1424223132,68.701617,127.504289,0.000596,0.000465,0.000131,0,0,,, ,5,3,1,1,1,1,4
59.166.0.9,31845,149.171.126.1,25,tcp,FIN,0.029608,37232,3380,31,29,18,8,smtp,9866523.0,891650.875,52,42,255,255,4026430931,4023233190,716,80,0,0,32.759376,1.531732,1424223133,1424223133,0.58538,0.708927,0.000667,0.000539,0.000128,0,0,,, ,2,1,4,4,1,1,2
59.166.0.5,37302,149.171.126.7,53,udp,CON,0.00092,130,162,31,29,0,0,dns,565217.375,704347.8125,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424223133,1424223133,0.001,0.003,0.0,0.0,0.0,0,0,,, ,2,4,1,1,1,1,1
175.45.176.0,0,149.171.126.13,0,cbt,INT,1.171427,360,0,254,0,0,0,-,1843.904907,0.0,4,0,0,0,0,0,90,0,0,0,552.206063,0.0,1424223145,1424223147,390.475656,0.0,0.0,0.0,0.0,0,2,,, ,10,10,10,10,10,10,10
